2023-03-29 01:59:30,541 INFO    MainThread:1491045 [wandb_setup.py:_flush():76] Configure stats pid to 1491045
2023-03-29 01:59:30,542 INFO    MainThread:1491045 [wandb_setup.py:_flush():76] Loading settings from /local/home/orvietoa/.config/wandb/settings
2023-03-29 01:59:30,542 INFO    MainThread:1491045 [wandb_setup.py:_flush():76] Loading settings from /local/home/orvietoa/lion/wandb/settings
2023-03-29 01:59:30,542 INFO    MainThread:1491045 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-29 01:59:30,542 INFO    MainThread:1491045 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-29 01:59:30,542 INFO    MainThread:1491045 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-03-29 01:59:30,542 INFO    MainThread:1491045 [wandb_init.py:_log_setup():506] Logging user logs to /local/home/orvietoa/lion/wandb/run-20230329_015930-hwq5osyv/logs/debug.log
2023-03-29 01:59:30,542 INFO    MainThread:1491045 [wandb_init.py:_log_setup():507] Logging internal logs to /local/home/orvietoa/lion/wandb/run-20230329_015930-hwq5osyv/logs/debug-internal.log
2023-03-29 01:59:30,542 INFO    MainThread:1491045 [wandb_init.py:init():546] calling init triggers
2023-03-29 01:59:30,543 INFO    MainThread:1491045 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'project': 'IMDB', 'use_wandb': True, 'dataset': 'IMDB', 'epochs': 10, 'seed': 67, 'optimizer': {'method': 'lion', 'bs': 4, 'lr': 0.0003}}
2023-03-29 01:59:30,543 INFO    MainThread:1491045 [wandb_init.py:init():602] starting backend
2023-03-29 01:59:30,543 INFO    MainThread:1491045 [wandb_init.py:init():606] setting up manager
2023-03-29 01:59:30,546 INFO    MainThread:1491045 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-29 01:59:30,547 INFO    MainThread:1491045 [wandb_init.py:init():613] backend started and connected
2023-03-29 01:59:30,550 INFO    MainThread:1491045 [wandb_init.py:init():701] updated telemetry
2023-03-29 01:59:30,551 INFO    MainThread:1491045 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-29 01:59:30,908 INFO    MainThread:1491045 [wandb_run.py:_on_init():2133] communicating current version
2023-03-29 01:59:30,984 INFO    MainThread:1491045 [wandb_run.py:_on_init():2142] got version response 
2023-03-29 01:59:30,984 INFO    MainThread:1491045 [wandb_init.py:init():789] starting run threads in backend
2023-03-29 01:59:33,227 INFO    MainThread:1491045 [wandb_run.py:_console_start():2114] atexit reg
2023-03-29 01:59:33,227 INFO    MainThread:1491045 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-29 01:59:33,227 INFO    MainThread:1491045 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-29 01:59:33,228 INFO    MainThread:1491045 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-29 01:59:33,229 INFO    MainThread:1491045 [wandb_init.py:init():831] run started, returning control to user process
