2023-03-29 02:06:30,554 INFO    MainThread:1532492 [wandb_setup.py:_flush():76] Configure stats pid to 1532492
2023-03-29 02:06:30,555 INFO    MainThread:1532492 [wandb_setup.py:_flush():76] Loading settings from /local/home/orvietoa/.config/wandb/settings
2023-03-29 02:06:30,555 INFO    MainThread:1532492 [wandb_setup.py:_flush():76] Loading settings from /local/home/orvietoa/lion/wandb/settings
2023-03-29 02:06:30,555 INFO    MainThread:1532492 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-29 02:06:30,555 INFO    MainThread:1532492 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-29 02:06:30,555 INFO    MainThread:1532492 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/local/home/orvietoa/lion/main.py'}
2023-03-29 02:06:30,556 INFO    MainThread:1532492 [wandb_init.py:_log_setup():506] Logging user logs to /local/home/orvietoa/lion/wandb/run-20230329_020630-5kjwspgj/logs/debug.log
2023-03-29 02:06:30,556 INFO    MainThread:1532492 [wandb_init.py:_log_setup():507] Logging internal logs to /local/home/orvietoa/lion/wandb/run-20230329_020630-5kjwspgj/logs/debug-internal.log
2023-03-29 02:06:30,556 INFO    MainThread:1532492 [wandb_init.py:init():546] calling init triggers
2023-03-29 02:06:30,556 INFO    MainThread:1532492 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'project': 'IMDB', 'use_wandb': True, 'dataset': 'IMDB', 'epochs': 10, 'seed': 67, 'optimizer': {'method': 'adam', 'bs': 4, 'lr': 0.0003}}
2023-03-29 02:06:30,556 INFO    MainThread:1532492 [wandb_init.py:init():602] starting backend
2023-03-29 02:06:30,556 INFO    MainThread:1532492 [wandb_init.py:init():606] setting up manager
2023-03-29 02:06:30,562 INFO    MainThread:1532492 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-29 02:06:30,568 INFO    MainThread:1532492 [wandb_init.py:init():613] backend started and connected
2023-03-29 02:06:30,577 INFO    MainThread:1532492 [wandb_init.py:init():701] updated telemetry
2023-03-29 02:06:30,579 INFO    MainThread:1532492 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-29 02:06:31,047 INFO    MainThread:1532492 [wandb_run.py:_on_init():2133] communicating current version
2023-03-29 02:06:31,152 INFO    MainThread:1532492 [wandb_run.py:_on_init():2142] got version response 
2023-03-29 02:06:31,152 INFO    MainThread:1532492 [wandb_init.py:init():789] starting run threads in backend
2023-03-29 02:06:33,365 INFO    MainThread:1532492 [wandb_run.py:_console_start():2114] atexit reg
2023-03-29 02:06:33,366 INFO    MainThread:1532492 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-29 02:06:33,366 INFO    MainThread:1532492 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-29 02:06:33,366 INFO    MainThread:1532492 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-29 02:06:33,368 INFO    MainThread:1532492 [wandb_init.py:init():831] run started, returning control to user process
