2023-03-29 05:53:14,510 INFO    MainThread:1592436 [wandb_setup.py:_flush():76] Configure stats pid to 1592436
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_setup.py:_flush():76] Loading settings from /local/home/orvietoa/.config/wandb/settings
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_setup.py:_flush():76] Loading settings from /local/home/orvietoa/lion/wandb/settings
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_init.py:_log_setup():506] Logging user logs to /local/home/orvietoa/lion/wandb/run-20230329_055314-mpfhuxis/logs/debug.log
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_init.py:_log_setup():507] Logging internal logs to /local/home/orvietoa/lion/wandb/run-20230329_055314-mpfhuxis/logs/debug-internal.log
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_init.py:init():546] calling init triggers
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'project': 'IMDB', 'use_wandb': True, 'dataset': 'IMDB', 'epochs': 10, 'seed': 67, 'optimizer': {'method': 'sgd_torch', 'bs': 4, 'lr': 0.003}}
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_init.py:init():602] starting backend
2023-03-29 05:53:14,511 INFO    MainThread:1592436 [wandb_init.py:init():606] setting up manager
2023-03-29 05:53:14,513 INFO    MainThread:1592436 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-29 05:53:14,514 INFO    MainThread:1592436 [wandb_init.py:init():613] backend started and connected
2023-03-29 05:53:14,517 INFO    MainThread:1592436 [wandb_init.py:init():701] updated telemetry
2023-03-29 05:53:14,518 INFO    MainThread:1592436 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-29 05:53:15,646 INFO    MainThread:1592436 [wandb_run.py:_on_init():2133] communicating current version
2023-03-29 05:53:15,724 INFO    MainThread:1592436 [wandb_run.py:_on_init():2142] got version response 
2023-03-29 05:53:15,724 INFO    MainThread:1592436 [wandb_init.py:init():789] starting run threads in backend
2023-03-29 05:53:17,858 INFO    MainThread:1592436 [wandb_run.py:_console_start():2114] atexit reg
2023-03-29 05:53:17,858 INFO    MainThread:1592436 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-29 05:53:17,858 INFO    MainThread:1592436 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-29 05:53:17,858 INFO    MainThread:1592436 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-29 05:53:17,859 INFO    MainThread:1592436 [wandb_init.py:init():831] run started, returning control to user process
2023-03-29 06:34:21,506 INFO    MainThread:1592436 [wandb_run.py:_finish():1854] finishing run orvi-things/Lion and Adam/mpfhuxis
2023-03-29 06:34:21,507 INFO    MainThread:1592436 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-29 06:34:21,507 INFO    MainThread:1592436 [wandb_run.py:_restore():2066] restore
2023-03-29 06:34:21,507 INFO    MainThread:1592436 [wandb_run.py:_restore():2072] restore done
2023-03-29 06:34:26,964 INFO    MainThread:1592436 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-03-29 06:34:26,965 INFO    MainThread:1592436 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-03-29 06:34:26,971 INFO    MainThread:1592436 [wandb_run.py:_footer_sync_info():3380] logging synced files
